city,lat,lon,Max Temp,Humidity,Cloudiness,Windspeed,Country,Date
narsaq,60.9167,-46.05,24.8,80,75,10.36,GL,1613409516
cabo frio,-22.8794,-42.0186,75.2,94,90,10.36,BR,1613409516
ahipara,-35.1667,173.1667,67.6,89,100,20.67,NZ,1613409516
jinka,5.65,36.65,75.9,40,51,1.86,ET,1613409443
bela,25.9333,81.9833,63.01,42,20,4.32,IN,1613409517
radhanpur,23.8333,71.6,70.38,32,0,7.47,IN,1613409517
namtsy,62.7161,129.6658,-32.8,75,0,2.24,RU,1613409517
ambulu,-8.345,113.6058,76.39,84,100,2.77,ID,1613409517
zhangye,38.9342,100.4517,32.49,76,100,4.38,CN,1613409517
evensk,61.95,159.2333,9.28,92,100,5.75,RU,1613409518
sinnamary,5.3833,-52.95,80.94,70,100,14.94,GF,1613409518
tura,25.5198,90.2201,62.71,30,0,2.57,IN,1613409518
portree,57.4129,-6.1942,46.0,84,100,18.99,GB,1613409519
ambovombe,-25.1667,46.0833,78.55,71,77,14.36,MG,1613409519
faya,18.3851,42.4509,62.6,82,0,9.22,SA,1613409519
naivasha,-0.7167,36.4359,62.01,83,100,10.0,KE,1613409519
praia da vitoria,38.7333,-27.0667,60.8,67,20,13.91,PT,1613409519
gelemso,8.8167,40.5167,69.12,28,2,4.99,ET,1613409519
oistins,13.0667,-59.5333,84.2,51,40,23.02,BB,1613409520
zharkovskiy,55.849,32.2697,-1.37,93,92,3.8,RU,1613409520
